# filter-repo commit map — 2026-07 history rewrite
#
# The 2026-07 secret scrub (git filter-repo: removed the tracked workspace/
# run archive, relativized absolute author paths) REWROTE EVERY COMMIT HASH.
# Any hash cited in a document written before that date is dead.
#
# Format: <old-hash> <new-hash>   (all-zero new-hash = commit dropped)
# Tags survived the rewrite and are the durable anchors:
#   echobot-v1          -> 957be3f49e9eba18022a546bef7e0d50de6e0fda
#   echobot-v2          -> 15edd7c910996210266f307b73585c6312ce42e4
#   lifecycle-baseline-1 -> (2026-07-15, post-rewrite; unaffected)
#
# Look up an old hash:  grep ^<old> docs/history/commit-map.txt
#
old                                      new
0105f73fbe5186917ffee437d5699806d28a4d55 e9f76862a71d4630b17dd29a4e214c4c2f553003
01ced65349317f6adac4432269fd21b9a1a1429b d9eb3b903c00df1dec600ebfca4e8c98128941af
023dd0989f3501ed2dedc4523e2fee64d141ad37 3f401c9b0b562702964f1bac1cbbd47b71947e28
061f19ff96392a1ffd6f4e024a6bd18648339c04 03c45d12d0a6d469e21f1d8360056b8a095b94ab
08f1464fcd83636e5ee815d5dd75f8197cbc3e8d 03eb78cb4876512f0debc3d3de58c234ce5826c1
0b1111914f6684b0db4d5653320f11ee0b0ff399 35ac3265311d180215ee81b11b77c0a1a3914e6f
0b43e6afde68c349b3db044a11d94f8da334e715 97f9c55e094f9d25ac6e97d09b801be0f3b0d42d
0cb0f0beeffb06d3a77343d3976fa439b31d6e83 e3cc5d04a83e3ae49128bd099ea8a764f5d3e8d3
11357655a0ab04a8c7ca15b131634b9d4df51529 5fa4ffd988cee09ac1ec622ddee3bca3bf268f95
1188a01f43b141e8f65a9e1070b3530bcc6db94f 5bb7a1e42980e1d40d225cfbe1bddab515e72433
126237ee2ecdfde090ff409fbed4324b34efa842 126f47daa94b52fe480a15b41e71cfcf610bbe54
1266c93dc7cd1091bb61c2217a9c025a5935f8bd 4f3d07e58864d1f7e15f55b73a4504e299e97bc3
127da8ef465d91b6a96a15491b866b44c92f4fca 8374483b541aa5ecc9d9d4265b0db2a651666460
14b22a3b89249daf97a57a4338df224b527bf945 a7783d268a6a4ba9c9b29ad15db5db30f565d01d
154b34b2c3d9fc3ee66243db5c2063be7c0000d8 e0e01d87675dd604ed484e926bf2bd062d414e81
173a9eaab134118b774dd933e5ee99eafebf461c 63c1f501d080fab62876c940ecca45d323ae9957
1a41017c7e6f5f431537ac2a33e7a0ed51cd6bd9 4870d787b89ac03e28df708dcbfcd0c69e8a46ef
1a44a6bb8ed687aa7961e5145dee23a868e9843f 90f6073e3978d916f0f3f3f3da20df1b16e3696a
1afd2c0c996e06099b1873ff489c1c3fd9ff6ca9 cfd44e2c6db8c5192926bf860c16b63a9784a519
1e8c86e0f533bbc40f81a26f44f397ba7846dd86 a97614b394f6b5a9e5277be03bdeeae4d9f47e4d
1f00bcea5cf30e9d0774f59be4c19de11ca631ff a0819184a97ed5dc672e0b8e18cfab1601399df7
2176a25b1596b3c7d90e0e50977f0e86bc0dfec5 806bd7026638ceb098088e0e30735bc3184a9dd8
22637fefc433a8c1cb4ac53ed3f9cc4f4c5af688 12359007e3330aa837ab22a7da7cb61c2087ef0b
27f81cd09bae63bd6a736f9044c376c0feacccc2 911c0a0d01843282c768ad10d6af16ed904f2734
2a7095929a3cda187312119a77b0cf8302a6c68f 476d0a2df82b1876068226b2c0406024a3c5799e
2af1aa8db444a78f689547001bd957628141d990 3eda7f55b8abc67f86454af0f1c269be9c773f3b
2ce0eea833392fe8c54dde7def52c47af64ba929 a46355902c7803cdde8f6a786a2eaf8d84dc4ccf
2fb4208936dc96e3d0580c6c4182cbc7e7d5de84 0e6b706b3d38ca5eef0302a0863d880d1e8b4874
3150534b730485c008374135cbf9e84aee969ab8 d42ed329ffda4fede8acf99a9e1b8a706c245ee7
355de812c1d63480666e965c832522bebc501156 77d9f18384e0fdee8236781e81e66293343e2133
3570023079af753a75bf6052151b9aa08eeeaade f01f7c40e1064f1b493b45b5865301905f93fb36
3638d44c732bdb12ed676fada26ff2a3689ff93d 1f895fc760ccb96f2818d2fd3cdf0117bab6f823
374ec92027a48ee4de3ae49cbba2d3235f69385b 8f5d0cf5494556512cef91afd843b4f39b772b46
38234e6e59936a8e0d8151e556bb39bed214afcd f7a9e51726a75c2fca85e8c82a51f5432deb4d79
398fc9e515cc80874765748b0e1257f901eafecc d48b152881643f070c60fc08f6e996cdcdb9f2ca
3bceab5823940d9d7c80c4941ab7a9dbf16c8f48 1dab5b5f3f85f77e7783a45ae0cf75e0d4aa78d2
41f754744f674515ecaed9ed8f9d6b14ad3bf6f2 41dac4afdf3aca80afee03adce2c4c50b26e9335
42fa168cc501821e6536024d915ba6043cec421b 249b6c25cd04b671847bd36220bdd93b396c8be5
444c89e937b3272898c63cd3e6afa1412761f83e 3bff22a86660ca24f3ef710fe83d3e0b04013b7b
451bb43343624fe759cceae4ef287c08228e45e8 50085bc2433a2694567b9d6d32bf195d8b0ed086
47a73bb0688a2e5ba1566f65085e6530a4184ba4 955d4e022578cd57574755e5dbd4380bdd66f3cc
4987d881b2d0e6676c94a49a3d61cbf2dfca940e 02bea81a671daa345898b7fa47751c057f3ad7e8
4b76cc4af8357af3e93d4cc3ebe8d0a772ad194b 43a37d1d396c8605363409e8ef6870bf72701bd8
4c7a851a4f7fd7b9a50f14a1ce8005f8a0f1d1a9 58744d782ad4548f7551f638fac4387d0f9aa2a6
4f00394dd91766eabd46d9e93e3640e1f76716ba 03945a92c8890515d09361b6961399cdff7e091b
55de631539a76f35f4aef0b1425d6d6fe339cedb f037901060ea71ab06a860ee1f5be47f5997ab2b
579af9c75769b02aa2820f51c068d06b18728ba8 d932e6bd06c211faccccaf1e94d594ec4713793c
580916de3a1a0401407aeb0f0e4804f6f5dd7195 1e288bb8da923a43443da6d62749de36a0fa48de
5e5368b5d58a7dab672dce3789980e4f93917fac 437bad18da134b440a2382e71e5f507b0661c76c
61f9ae9ce00c4868dc763f2476c04ea93fde5678 5f51bf7b43d9dd84eb4b5bc5f4e3a909cfea6f56
62c21c9b123921f41d0267750c23e477ce2666b1 425dbe990adc879837e4f6b096f9c046f97eba79
62cbcc841ee3360f0fe9e95d79a569f7d0d281ba dc842f0c2bd5219c625553b794068b026ae94dbb
6324c1f1bba286e93fd526e15189f898cf3e27f0 745518387f8ed34f7c0ae68155238bb8503ab1ec
636c1693a75e9fd618188a1254715429fd20ca6b 2881e15f9ddf5091d0a329bdf70ea23edd1fc6a9
66a764ef3bfbc106a23723b66b90541256371ef6 63f909537ac7488dd95638f38cc49c0b50c43551
6800aa3f9bb10c124567701b7e65cc0283a96226 6c08637c21840c4dbf547f63a12d25ea1b9a7668
6935d52cc59f09036132cec5eaabbcd044e28499 1e9b0bc1ec989235525b30755e3ac34541567c22
6d74663e8c482dbef5343d9cd6a358f033433d32 b481741106e93b91ee1fcdfe6dc7f6d02a1cf003
7208feb1d129d99e55b6963a826aa7c3905ee247 91c179ec8841f0258e65ad54ba5efa629bf25947
741ccf7e89d416cc6083de3d295ab15ed1bd3ff1 a180a275b9eda0b707a256d49f1fdc722a9c0b5d
7647837fa12db9747d7d8ba30df5c898ae0632a5 d8d62e387b5644425576ff6511067709ee28a1f3
77d2eac6131517a25e505f36041e8a8b2759ce39 957be3f49e9eba18022a546bef7e0d50de6e0fda
7a6800a140900f5525c217c09d8a419e622c2b79 f80afbfaee2863029ca63a8105c5f55df9330194
7e462dfd05b424292540cb347a74681c8598cea3 d57321f863a33aeaa5155526e91f7fe26bcdc7cd
808b59578a037e80ba8606d2d71b322864a96264 040def2a1b5b5aded9f948eab59030fd2e72d93e
81475f9d0a875d700eb94acf23a0a8efff2dfa24 fa1f0239c66f771d1102b33cbbfb799e0a7bc3a8
81f6fc4416e1fd7bafdc6bdbd075c9b3556fb89b b8ee80fb7ebcbfa328e8f3b9bd16d44e1657a1a8
829fd4e2d1e09e9fac33ba94fdd4e854b8fcd491 c146961b7d4519bad2f35e6db9aab7134db596fa
864b44f326fccbdc2bdd6a3bae12d53fd8e33435 5acc861610523658d1ca8186aaf4afc6ea781691
865de5cbaeeb917ba9e144bdf863663b33b3a0ed 7f3cd00cc094ce51b4eab41dde05e3e71b903eb9
8a36992f8e7e82d61f2b82d4e1f25bd1560a1796 b90128f952fd8e1a5f02c3cadb0fbdf75c99c4fc
8a9e3929e22f51c8819556e3d50196544e4b5556 4193b909fe41b79ea0b8807b7a1aa303c89b7f63
8d2e923320e63aa974d2a98e2712069a1377c975 6583d2289c1b3f16d3c93e1b05da998efae33187
90a354969ccb96a31d42304e51c2373cbe15552b 0214cfee3c52d4cfb680293a10de6e9a37f1d424
90d30e739424305eef7af98bd88e8f9313fbd22b 8bc8e00ddcf0c05e83df0871dcacd46ab3d6eedf
929e5031b1353569fae2978950cf384ce5f91582 c9463c6228f2555f15b3585147a93f66b4debb3c
92e446de4534560bf9e7ed3e6e1f75b2b378cb85 297ff8a26d991fb1cb9bb119462ca18cf750eadb
993eba3dbfb658dd48e185951c8979512da9750f 15edd7c910996210266f307b73585c6312ce42e4
9bb851892d4ecc477341d3aba5be663050a691da 99bc681c767f95c3fdd8ce5e3522967dd8881030
9cd0dfc83755daca8c0d9e9279bdfe780544303e 35d154abb954aade263c2cc0345129011906044d
9d94cccab9d23cce3c2d524097dccd0be3ded18a 1bcb631a00897ea11d4bee7783ad9598c339be21
9f3919c226714e9b43c30cf41ef791854e38380c 5d2a8cb5fa0d056bea5313399288884bce59b41d
a034b60c75a03a1a7f67ff5a45a76a2fb68909c0 66b9d330dc492d96d8d9c32f0742e90d49369189
a0734030526e93135b4c7dba372a585db1ceb087 d01ef1d9fc64e3d156f0cbc4bf113fb2e11f8aaf
a1ab1763783c80913e893686e6b39833edbce7db cce7c6091bc71c4f965c31118bf95775be867895
a48801e88488a281e5152f0bfac17d5eba576897 d448f1d86861aa3edd8ee43cc90a4561399a2313
a68fb4aa88a40185f6a00360b571a97398a9ac14 da562bc811c76d4dc4e64ab16507377b8a6a4d51
a7aa71b30102ed79726537eca7b548fcd26ab042 5765f8fead2687d7e8e873510185a4b83073f87e
a83228b5a14f80039fa8665352790ab7a7566d7b 662b763fb77993edf20c9e1269ccf607bd1ea618
a8a0b200d49ec7675d95d7e0600e1b65f724eff0 3cff49cb032a0f707212e9b902647711d9db4154
ace221b123d10512b6c161fe5a2766c822f715e7 ff5a446b5214f34040dbe6e58246ffe7c046cf5b
ad355329264b855f49443fdf793cdc420feec793 12f737187b28b5436d7ffda99e459734f8f9b50b
ade1d64d17ac14016690a362eb03727612f0945c 61f3824eda13406a18d3a8636d69b034f5633355
aed21dd1820fb79641eb37ab2fed3396e6feca16 e6b3a4d62a145d69c84f45cfb9cc01e5f3be52c1
aefb1fef93551d2642d148284911c6a894ce0f6b 029b0668bf4c06b61252532d6398d8b56bacaca4
b117471871914d33fa0fe696eb282eaf5d167d8c e9a44f226ff259226a951db549f97cf20d9dd907
b1d62c9bff05b851339737e05c766571d6c52220 1bf4a83656f846ef2a68632a60fc0368f14bf0bd
b4f0ab6178df5e09a19d3f4dac6c46aa0ad7cc42 448a4e974ecf8ed6162167b879b1b439a3f3aaf2
b7036bc91f25972dd60c949a82bd117796154515 2db5c8213254c382d4690e05563833884c61b1d3
b703cb3a020cefa9b956bf6e7acb47a8d060c470 dff6e3916e081f9534133c464a878bc68c9e23d8
b729a4a408815c717bf47cb2b7870b774c7bc0c1 0e68a6908921b060bd2cdb223b313c0a7b6726ab
b90eadf310288716992e073b0ea20359a96ce373 660c2bc958ce910fdd7ef5608006657ad0be057e
bc0c53fd4c2b4f65d1788e869fb644712dafce6b a0e6e76a171ba1c8bccfa748785dbbcd04135225
bcf133a718b4d47b4a12f261906344f10e0fb4b7 0e9a138a940ce70cad43dbc0dcc80b2d3a743ab0
bdb6077b43a49f5aa2b94853deff6028112c3c4b 94582254c804027464377dddfbcb89c6131f460e
bf330f842062eed0da1b94b2970642571e4455b4 545542de3314ed472151abf2f34fbe93c1da6a3e
c2a1ebfc1fff6470576ea34bbff281cdc5f1ceaf d8b1109c2c7fb5f41c14f6040165baee86469bbb
c492f1452e1fd59e72fe9a20777bbdaa1de22505 ffb261387bb85168ae87b6cac8707b9a9e13f03a
c6f6b02686c399d834de005e29209b55bbce0da6 384811ed63c918d756bdba63e9bc62c8241c5e4f
